facility_name,variant_id,variant_name,variant_sku,variant_barcode,retail_price,cost_price,opening,opening_val,opening_cost,str_in,str_in_val,str_in_cost,str_out,str_out_val,str_out_cost,sales_qty,sales_val,sales_cost,returns_qty,returns_val,returns_cost,available,available_val,available_cost,reserved,reserved_val,reserved_cost,onhand,onhand_val,onhand_cost,incoming,incoming_val,incoming_cost
MM Alam,10122475,125,125,125,0,,0,0,,3400,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,3400,0,,0,0,0
Packages Mall,10122475,125,125,125,0,,0,0,,1500,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,1500,0,,0,0,0
MM Alam,10122546,LOGOPREMIUM1,LOGOPREMIUM1,LOGOPREMIUM1,0,,0,0,,1040,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,1040,0,,0,0,0
DHA,10122475,125,125,125,0,,0,0,,701,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,701,0,,0,0,0
DHA,10122546,LOGOPREMIUM1,LOGOPREMIUM1,LOGOPREMIUM1,0,,0,0,,1760,0,0,1120,0,0,0,0,0,0,0,0,640,0,0,0,0,0,640,0,,0,0,0
MM Alam,10122538,LOGOWALLET,LOGOWALLET,LOGOWALLET,0,,0,0,,240,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,240,0,,0,0,0
MM Alam,10122568,LOGOPREMIUM2,LOGOPREMIUM2,LOGOPREMIUM2,0,,0,0,,240,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,240,0,,0,0,0
Packages Mall,9290662,Instant Shoes Cleaner 000 Mix,116,000116-000-MIX,195,95,88,17160,8360,120,23400,11400,0,0,0,86,16770,8170,0,0,0,122,23790,11590,0,0,0,122,23790,11590,0,0,0
MM Alam,9290662,Instant Shoes Cleaner 000 Mix,116,000116-000-MIX,195,95,57,11115,5415,125,24375,11875,3,585,285,57,11115,5415,0,0,0,122,23790,11590,0,0,0,122,23790,11590,0,0,0
DHA,10122568,LOGOPREMIUM2,LOGOPREMIUM2,LOGOPREMIUM2,0,,0,0,,180,0,0,60,0,0,0,0,0,0,0,0,120,0,0,0,0,0,120,0,,0,0,0
Packages Mall,9290710,Wax For Polishable Leather 000 Mix,132,000132-000-MIX,395,,117,46215,,0,0,0,0,0,0,13,5135,0,0,0,0,104,41080,0,0,0,0,104,41080,,0,0,0
DHA,10122538,LOGOWALLET,LOGOWALLET,LOGOWALLET,0,,0,0,,180,0,0,80,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,,0,0,0
DHA,9290710,Wax For Polishable Leather 000 Mix,132,000132-000-MIX,395,,118,46610,,0,0,0,3,1185,0,19,7505,0,0,0,0,96,37920,0,0,0,0,96,37920,,0,0,0
DHA,9290662,Instant Shoes Cleaner 000 Mix,116,000116-000-MIX,195,95,70,13650,6650,98,19110,9310,6,1170,570,67,13065,6365,0,0,0,95,18525,9025,0,0,0,95,18525,9025,0,0,0
Packages Mall,9290674,Plastic Shoe Trees 000 Mix,117,000117-000-MIX,450,213,85,38250,18105,0,0,0,0,0,0,11,4950,2343,0,0,0,74,33300,15762,0,0,0,74,33300,15762,0,0,0
MM Alam,9290710,Wax For Polishable Leather 000 Mix,132,000132-000-MIX,395,,111,43845,,4,1580,0,6,2370,0,43,16985,0,0,0,0,66,26070,0,0,0,0,66,26070,,0,0,0
DHA,9290766,Plastic Shoe Horn 000 Mix,137,000137-000-MIX,150,,59,8850,,0,0,0,1,150,0,3,450,0,0,0,0,55,8250,0,0,0,0,55,8250,,0,0,0
WH,10122576,LOGOPREMIUM3,LOGOPREMIUM3,LOGOPREMIUM3,0,,0,0,,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,,0,0,0
Packages Mall,9290734,Inner Sole 000 Mix,135,000135-000-MIX,50,,110,5500,,0,0,0,0,0,0,62,3100,0,0,0,0,48,2400,0,0,0,0,48,2400,,0,0,0
DHA,9290674,Plastic Shoe Trees 000 Mix,117,000117-000-MIX,450,213,56,25200,11928,1,450,213,7,3150,1491,8,3600,1704,0,0,0,42,18900,8946,0,0,0,42,18900,8946,0,0,0
Packages Mall,9290766,Plastic Shoe Horn 000 Mix,137,000137-000-MIX,150,,58,8700,,0,0,0,0,0,0,18,2700,0,0,0,0,40,6000,0,0,0,0,40,6000,,0,0,0
MM Alam,9290674,Plastic Shoe Trees 000 Mix,117,000117-000-MIX,450,213,51,22950,10863,0,0,0,0,0,0,11,4950,2343,0,0,0,40,18000,8520,0,0,0,40,18000,8520,0,0,0
DHA,9290754,Shoe Polish 000 Brown,136,000136-000-BRA,195,94.9482,43,8385,4082.7725,0,0,0,0,0,0,3,585,284.8446,0,0,0,40,7800,3797.9277,0,0,0,40,7800,3797.9277,0,0,0
MM Alam,9417439,Shoe Travel Pouch 000 Mix,STP001,STP001-000-MIX,200,80,34,6800,2720,0,0,0,0,0,0,0,0,0,0,0,0,34,6800,2720,0,0,0,34,6800,2720,0,0,0
Packages Mall,9417439,Shoe Travel Pouch 000 Mix,STP001,STP001-000-MIX,200,80,38,7600,3040,0,0,0,0,0,0,6,1200,480,0,0,0,32,6400,2560,0,0,0,32,6400,2560,0,0,0
Packages Mall,9290754,Shoe Polish 000 Brown,136,000136-000-BRA,195,94.9482,39,7605,3702.9797,0,0,0,0,0,0,12,2340,1139.3784,0,0,0,27,5265,2563.6013,0,0,0,27,5265,2563.6013,0,0,0
DHA,9290734,Inner Sole 000 Mix,135,000135-000-MIX,50,,61,3050,,0,0,0,0,0,0,37,1850,0,0,0,0,24,1200,0,0,0,0,24,1200,,0,0,0
DHA,9290746,Shoe Polish 000 Black,136,000136-000-BKA,195,94.9546,23,4485,2183.9558,0,0,0,0,0,0,0,0,0,0,0,0,23,4485,2183.9558,0,0,0,23,4485,2183.9558,0,0,0
Packages Mall,9290698,Shoes Brush 000 Mix,128,000128-000-MIX,350,190,22,7700,4180,0,0,0,0,0,0,2,700,380,0,0,0,20,7000,3800,0,0,0,20,7000,3800,0,0,0
MM Alam,9290766,Plastic Shoe Horn 000 Mix,137,000137-000-MIX,150,,42,6300,,0,0,0,0,0,0,27,4050,0,0,0,0,15,2250,0,0,0,0,15,2250,,0,0,0
MM Alam,9343948,Leather Formal 42 Black Polishable,9599,009599-042-BKA,20000,4316,12,240000,51792,2,40000,8632,0,0,0,0,0,0,0,0,0,14,280000,60424,0,0,0,14,280000,60424,0,0,0
MM Alam,9342616,Leather Formal 43 Black Polishable,9578,009578-043-BKA,18000,3700,10,180000,37000,2,36000,7400,0,0,0,-1,-18000,-3700,0,0,0,13,234000,48100,0,0,0,13,234000,48100,0,0,0
Packages Mall,9343948,Leather Formal 42 Black Polishable,9599,009599-042-BKA,20000,4316,12,240000,51792,0,0,0,0,0,0,0,0,0,0,0,0,12,240000,51792,0,0,0,12,240000,51792,0,0,0
Packages Mall,9342156,Leather Formal 42 Black Polishable,9573,009573-042-BKA,16000,4000,12,192000,48000,0,0,0,0,0,0,0,0,0,0,0,0,12,192000,48000,0,0,0,12,192000,48000,0,0,0
MM Alam,9343956,Leather Formal 43 Black Polishable,9599,009599-043-BKA,20000,4316,11,220000,47476,1,20000,4316,0,0,0,0,0,0,0,0,0,12,240000,51792,0,0,0,12,240000,51792,0,0,0
MM Alam,9337356,Leather Formal 42 Brown Polishable,9525,009525-042-BRA,19000,4364,12,228000,52368,0,0,0,0,0,0,0,0,0,0,0,0,12,228000,52368,0,0,0,12,228000,52368,0,0,0
WH,9336804,Leather Formal 42 Brown Polishable,9520,009520-042-BRA,18000,3600,0,0,0,12,216000,43200,0,0,0,0,0,0,0,0,0,12,216000,43200,0,0,0,12,216000,43200,0,0,0
MM Alam,9343560,Leather Formal 41 Black Polishable,9589,009589-041-BKA,15000,3400,11,165000,37400,0,0,0,0,0,0,0,0,0,0,0,0,11,165000,37400,0,0,0,11,165000,37400,0,0,0
MM Alam,9329243,Leather Formal 44 Black Polishable,9443,009443-044-BKA,18000,3600,10,180000,36000,1,18000,3600,0,0,0,0,0,0,0,0,0,11,198000,39600,0,0,0,11,198000,39600,0,0,0
MM Alam,9343940,Leather Formal 41 Black Polishable,9599,009599-041-BKA,20000,4316,10,200000,43160,1,20000,4316,0,0,0,0,0,0,0,0,0,11,220000,47476,0,0,0,11,220000,47476,0,0,0
WH,9303402,Formal Leather Sandals 42 Brown Polishable,7568,007568-042-BRA,8000,1703.9474,0,0,0,12,96000,20447.37,1,8000,1703.9474,0,0,0,0,0,0,11,88000,18743.422,0,0,0,11,88000,18743.422,0,0,0
MM Alam,9410158,Discounted Accessories 000 Mix,ACLO10,ACLO10-000-MIX,1000,600,11,11000,6600,0,0,0,0,0,0,0,0,0,0,0,0,11,11000,6600,0,0,0,11,11000,6600,0,0,0
Packages Mall,9417262,Woolen Socks (Golf Pack) 000 Mix,S12231,S12231-000-MIX,300,120,0,0,0,12,3600,1440,0,0,0,1,300,120,0,0,0,11,3300,1320,0,0,0,11,3300,1320,0,0,0
DHA,9417262,Woolen Socks (Golf Pack) 000 Mix,S12231,S12231-000-MIX,300,120,7,2100,840,10,3000,1200,0,0,0,7,2100,840,0,0,0,10,3000,1200,0,0,0,10,3000,1200,0,0,0
Packages Mall,9410386,Mens Ankle Cotton Socks (Pack Of 2) 000 Mix,AS146,AS146-000-MIX,450,220,4,1800,880,12,5400,2640,0,0,0,6,2700,1320,0,0,0,10,4500,2200,0,0,0,10,4500,2200,0,0,0
MM Alam,9329235,Leather Formal 43 Brown Polishable,9443,009443-043-BRA,18000,3600,10,180000,36000,1,18000,3600,0,0,0,1,18000,3600,0,0,0,10,180000,36000,0,0,0,10,180000,36000,0,0,0
WH,9336820,Leather Formal 43 Brown Polishable,9520,009520-043-BRA,18000,3600,0,0,0,10,180000,36000,0,0,0,0,0,0,0,0,0,10,180000,36000,0,0,0,10,180000,36000,0,0,0
WH,9310387,Formal Leather Slippers 43 Gra,7821,007821-043-GRA,7800,1700,0,0,0,13,101400,22100,3,23400,5100,0,0,0,0,0,0,10,78000,17000,0,0,0,10,78000,17000,0,0,0
WH,9299846,Formal Leather Slippers 43 Black Polishable,7482,007482-043-BKA,8000,1600,0,0,0,10,80000,16000,1,8000,1600,0,0,0,0,0,0,9,72000,14400,0,0,0,9,72000,14400,0,0,0
MM Alam,9292754,Leather Formal 43 Brown Jali,1033,001033-043-BRJ,20000,4186,10,200000,41860,2,40000,8372,1,20000,4186,2,40000,8372,0,0,0,9,180000,37674,0,0,0,9,180000,37674,0,0,0
MM Alam,9293526,Leather Formal 43 Black Crocodile,1046,001046-043-BKC,18000,4224,9,162000,38016,1,18000,4224,1,18000,4224,0,0,0,0,0,0,9,162000,38016,0,0,0,9,162000,38016,0,0,0
WH,9311167,Formal Leather Slippers 43 Blue,7832,007832-043-BLA,7000,1700,0,0,0,9,63000,15300,0,0,0,0,0,0,0,0,0,9,63000,15300,0,0,0,9,63000,15300,0,0,0
MM Alam,9290754,Shoe Polish 000 Brown,136,000136-000-BRA,195,94.9482,14,2730,1329.2748,0,0,0,0,0,0,5,975,474.74097,0,0,0,9,1755,854.53375,0,0,0,9,1755,854.53375,0,0,0
MM Alam,9291546,Leather Formal 42 Brown Polishable,1013,001013-042-BRA,19500,3840,0,0,0,10,195000,38400,0,0,0,1,19500,3840,0,0,0,9,175500,34560,0,0,0,9,175500,34560,0,0,0
Packages Mall,9412166,Key Chain 000 Brown,KC463,KC463-000-BRA,600,300,9,5400,2700,0,0,0,0,0,0,0,0,0,0,0,0,9,5400,2700,0,0,0,9,5400,2700,0,0,0
MM Alam,9343508,Leather Formal 42 Maroon,9586,009586-042-MRA,18000,4000,8,144000,32000,1,18000,4000,0,0,0,0,0,0,0,0,0,9,162000,36000,0,0,0,9,162000,36000,0,0,0
MM Alam,9329227,Leather Formal 43 Black Polishable,9443,009443-043-BKA,18000,3600,8,144000,28800,1,18000,3600,0,0,0,0,0,0,0,0,0,9,162000,32400,0,0,0,9,162000,32400,0,0,0
MM Alam,9338728,Leather Formal 43 Black Polishable,9538,009538-043-BKA,12000,3500,7,84000,24500,2,24000,7000,0,0,0,0,0,0,0,0,0,9,108000,31500,0,0,0,9,108000,31500,0,0,0
MM Alam,9341940,Leather Formal 43 Black Polishable,9571,009571-043-BKA,16000,3600,9,144000,32400,0,0,0,0,0,0,0,0,0,0,0,0,9,144000,32400,0,0,0,9,144000,32400,0,0,0
MM Alam,9337340,Leather Formal 41 Brown Polishable,9525,009525-041-BRA,19000,4364,9,171000,39276,0,0,0,0,0,0,0,0,0,0,0,0,9,171000,39276,0,0,0,9,171000,39276,0,0,0
MM Alam,9329219,Leather Formal 42 Brown Polishable,9443,009443-042-BRA,18000,3600,10,180000,36000,1,18000,3600,2,36000,7200,0,0,0,0,0,0,9,162000,32400,0,0,0,9,162000,32400,0,0,0
Packages Mall,9339996,Leather Formal 43 Black Polishable,9551,009551-043-BKA,18000,4000,6,108000,24000,1,18000,4000,0,0,0,-1,-18000,-4000,0,0,0,8,144000,32000,0,0,0,8,144000,32000,0,0,0
MM Alam,9343964,Leather Formal 44 Black Polishable,9599,009599-044-BKA,20000,4316,7,140000,30212,1,20000,4316,0,0,0,0,0,0,0,0,0,8,160000,34528,0,0,0,8,160000,34528,0,0,0
WH,9329635,Leather Formal 44 Brown Polishable,9448,009448-044-BRA,14500,3400,0,0,0,9,130500,30600,1,14500,3400,0,0,0,0,0,0,8,116000,27200,0,0,0,8,116000,27200,0,0,0
MM Alam,9333064,Leather Formal 43 Blu,9481,009481-043-BLU,22000,4100,4,88000,16400,4,88000,16400,0,0,0,0,0,0,0,0,0,8,176000,32800,0,0,0,8,176000,32800,0,0,0
MM Alam,9335688,Leather Formal 43 Greeen Nubuck,9507,009507-043-GRN,18000,3600,8,144000,28800,2,36000,7200,0,0,0,2,36000,7200,0,0,0,8,144000,28800,0,0,0,8,144000,28800,0,0,0
Packages Mall,9343376,Leather Formal 42 Greeen Nubuck,9585,009585-042-GRN,16000,3600,9,144000,32400,0,0,0,0,0,0,1,16000,3600,0,0,0,8,128000,28800,0,0,0,8,128000,28800,0,0,0
MM Alam,9341908,Leather Formal 41 Black Polishable,9571,009571-041-BKA,16000,3600,8,128000,28800,1,16000,3600,1,16000,3600,0,0,0,0,0,0,8,128000,28800,0,0,0,8,128000,28800,0,0,0
WH,9329619,Leather Formal 43 Brown Polishable,9448,009448-043-BRA,14500,3400,0,0,0,8,116000,27200,0,0,0,0,0,0,0,0,0,8,116000,27200,0,0,0,8,116000,27200,0,0,0
MM Alam,9343568,Leather Formal 42 Black Polishable,9589,009589-042-BKA,15000,3400,8,120000,27200,1,15000,3400,1,15000,3400,0,0,0,0,0,0,8,120000,27200,0,0,0,8,120000,27200,0,0,0
WH,9336928,Leather Formal 43 Brown Polishable,9521,009521-043-BRA,18000,3900,0,0,0,9,162000,35100,1,18000,3900,0,0,0,0,0,0,8,144000,31200,0,0,0,8,144000,31200,0,0,0
Packages Mall,9339516,Leather Formal 42 Black Polishable,9547,009547-042-BKA,14000,3600,9,126000,32400,0,0,0,0,0,0,1,14000,3600,0,0,0,8,112000,28800,0,0,0,8,112000,28800,0,0,0
MM Alam,9339996,Leather Formal 43 Black Polishable,9551,009551-043-BKA,18000,4000,6,108000,24000,2,36000,8000,0,0,0,0,0,0,0,0,0,8,144000,32000,0,0,0,8,144000,32000,0,0,0
MM Alam,9329211,Leather Formal 42 Black Polishable,9443,009443-042-BKA,18000,3600,7,126000,25200,1,18000,3600,0,0,0,0,0,0,0,0,0,8,144000,28800,0,0,0,8,144000,28800,0,0,0
MM Alam,9337980,Leather Formal 43 Black Polishable,9531,009531-043-BKA,12000,3600,6,72000,21600,2,24000,7200,0,0,0,0,0,0,0,0,0,8,96000,28800,0,0,0,8,96000,28800,0,0,0
Packages Mall,9335664,Leather Formal 42 Greeen Nubuck,9507,009507-042-GRN,18000,3600,7,126000,25200,1,18000,3600,0,0,0,0,0,0,0,0,0,8,144000,28800,0,0,0,8,144000,28800,0,0,0
MM Alam,9292906,Leather Formal 43 Brown Mild,1035,001035-043-BRM,19000,3690,7,133000,25830,3,57000,11070,0,0,0,2,38000,7380,0,0,0,8,152000,29520,0,0,0,8,152000,29520,0,0,0
WH,9303362,Formal Leather Sandals 43 Black Polishable,7568,007568-043-BKA,8000,1700,0,0,0,11,88000,18700,3,24000,5100,0,0,0,0,0,0,8,64000,13600,0,0,0,8,64000,13600,0,0,0
Packages Mall,9291546,Leather Formal 42 Brown Polishable,1013,001013-042-BRA,19500,3840,0,0,0,10,195000,38400,0,0,0,2,39000,7680,0,0,0,8,156000,30720,0,0,0,8,156000,30720,0,0,0
WH,9308169,Formal Leather Sandals 43 Brown Polishable,7735,007735-043-BRA,8880,2469.6062,0,0,0,9,79920,22226.455,1,8880,2469.6062,0,0,0,0,0,0,8,71040,19756.85,0,0,0,8,71040,19756.85,0,0,0
WH,9303410,Formal Leather Sandals 43 Brown Polishable,7568,007568-043-BRA,8000,1700,0,0,0,11,88000,18700,3,24000,5100,0,0,0,0,0,0,8,64000,13600,0,0,0,8,64000,13600,0,0,0
WH,9304006,Formal Leather Sandals 42 Black Polishable,7576,007576-042-BKA,6750,1703.1847,0,0,0,15,101250,25547.77,7,47250,11922.293,0,0,0,0,0,0,8,54000,13625.478,0,0,0,8,54000,13625.478,0,0,0
DHA,9416890,Combed Mens Socks (Pack Of 3) 000 Mix,S12021,S12021-000-MIX,850,356.6035,5,4250,1783.0175,3,2550,1069.8104,0,0,0,0,0,0,0,0,0,8,6800,2852.828,0,0,0,8,6800,2852.828,0,0,0
DHA,9417250,Woolen Socks (Golf Pack) 000 Mix,S12230,S12230-000-MIX,300,120,12,3600,1440,0,0,0,0,0,0,4,1200,480,0,0,0,8,2400,960,0,0,0,8,2400,960,0,0,0
Packages Mall,9416878,Combed Mens Socks (Pack Of 3) 000 Mix,S12020,S12020-000-MIX,850,360,18,15300,6480,0,0,0,0,0,0,10,8500,3600,0,0,0,8,6800,2880,0,0,0,8,6800,2880,0,0,0
MM Alam,10122530,UF0001,UF0001,UF0001,0,,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,,0,0,0
DHA,9410386,Mens Ankle Cotton Socks (Pack Of 2) 000 Mix,AS146,AS146-000-MIX,450,220,1,450,220,10,4500,2200,0,0,0,3,1350,660,0,0,0,8,3600,1760,0,0,0,8,3600,1760,0,0,0
MM Alam,9411375,Card Wallet For Men 000 Grey,CW277,CW277-000-GRY,1500,560.7191,8,12000,4485.753,0,0,0,0,0,0,1,1500,560.7191,0,0,0,7,10500,3925.0337,0,0,0,7,10500,3925.0337,0,0,0
MM Alam,9415146,Note Wallet 000 Black,NW470,NW470-000-BKA,3000,1200,2,6000,2400,6,18000,7200,0,0,0,1,3000,1200,0,0,0,7,21000,8400,0,0,0,7,21000,8400,0,0,0
MM Alam,9410938,Card Wallet For Men 000 Black,CH450,CH450-000-BKA,1950,800,8,15600,6400,0,0,0,1,1950,800,0,0,0,0,0,0,7,13650,5600,0,0,0,7,13650,5600,0,0,0
Packages Mall,9417226,Crew Short (Pack Of 1) 000 Mix,S12229,S12229-000-MIX,300,120,12,3600,1440,0,0,0,0,0,0,5,1500,600,0,0,0,7,2100,840,0,0,0,7,2100,840,0,0,0
Packages Mall,9416890,Combed Mens Socks (Pack Of 3) 000 Mix,S12021,S12021-000-MIX,850,356.6035,3,2550,1069.8104,7,5950,2496.2244,0,0,0,3,2550,1069.8104,0,0,0,7,5950,2496.2244,0,0,0,7,5950,2496.2244,0,0,0
DHA,9412166,Key Chain 000 Brown,KC463,KC463-000-BRA,600,300,7,4200,2100,0,0,0,0,0,0,0,0,0,0,0,0,7,4200,2100,0,0,0,7,4200,2100,0,0,0
Packages Mall,10122530,UF0001,UF0001,UF0001,0,,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,,0,0,0
DHA,9415154,Note Wallet 000 Brown,NW470,NW470-000-BRA,3000,1200,3,9000,3600,6,18000,7200,1,3000,1200,1,3000,1200,0,0,0,7,21000,8400,0,0,0,7,21000,8400,0,0,0
WH,9410374,Mens Ankle Cotton Socks (Pack Of 2) 000 Mix,AS145,AS145-000-MIX,450,220,0,0,0,7,3150,1540,0,0,0,0,0,0,0,0,0,7,3150,1540,0,0,0,7,3150,1540,0,0,0
Packages Mall,9333332,Leather Formal 41 Brown Polishable,9485,009485-041-BRA,18000,3800,7,126000,26600,0,0,0,0,0,0,0,0,0,0,0,0,7,126000,26600,0,0,0,7,126000,26600,0,0,0
Packages Mall,9330011,Leather Formal 42 Black Polishable,9453,009453-042-BKA,18000,3600,7,126000,25200,0,0,0,0,0,0,0,0,0,0,0,0,7,126000,25200,0,0,0,7,126000,25200,0,0,0
Packages Mall,9343780,Leather Formal 41 Brown Polishable,9591,009591-041-BRA,18000,3800,9,162000,34200,0,0,0,0,0,0,2,36000,7600,0,0,0,7,126000,26600,0,0,0,7,126000,26600,0,0,0
WH,9336828,Leather Formal 43 Greeen Nubuck,9520,009520-043-GRN,18000,3600,0,0,0,7,126000,25200,0,0,0,0,0,0,0,0,0,7,126000,25200,0,0,0,7,126000,25200,0,0,0
WH,9343128,Leather Formal 43 Blu,9583,009583-043-BLU,18000,4000,0,0,0,9,162000,36000,2,36000,8000,0,0,0,0,0,0,7,126000,28000,0,0,0,7,126000,28000,0,0,0
Packages Mall,9339704,Leather Formal 43 Greeen Nubuck,9548,009548-043-GRN,16000,4000,8,128000,32000,0,0,0,0,0,0,1,16000,4000,0,0,0,7,112000,28000,0,0,0,7,112000,28000,0,0,0
MM Alam,9329195,Leather Formal 41 Black Polishable,9443,009443-041-BKA,18000,3600,6,108000,21600,1,18000,3600,0,0,0,0,0,0,0,0,0,7,126000,25200,0,0,0,7,126000,25200,0,0,0
Packages Mall,9329219,Leather Formal 42 Brown Polishable,9443,009443-042-BRA,18000,3600,5,90000,18000,2,36000,7200,0,0,0,0,0,0,0,0,0,7,126000,25200,0,0,0,7,126000,25200,0,0,0
MM Alam,9336804,Leather Formal 42 Brown Polishable,9520,009520-042-BRA,18000,3600,13,234000,46800,0,0,0,6,108000,21600,0,0,0,0,0,0,7,126000,25200,0,0,0,7,126000,25200,0,0,0
Packages Mall,9343940,Leather Formal 41 Black Polishable,9599,009599-041-BKA,20000,4316,7,140000,30212,0,0,0,0,0,0,0,0,0,0,0,0,7,140000,30212,0,0,0,7,140000,30212,0,0,0
MM Alam,9337964,Leather Formal 42 Black Polishable,9531,009531-042-BKA,12000,3600,6,72000,21600,2,24000,7200,0,0,0,1,12000,3600,0,0,0,7,84000,25200,0,0,0,7,84000,25200,0,0,0
MM Alam,9343516,Leather Formal 43 Maroon,9586,009586-043-MRA,18000,4000,7,126000,28000,1,18000,4000,0,0,0,1,18000,4000,0,0,0,7,126000,28000,0,0,0,7,126000,28000,0,0,0
MM Alam,9343576,Leather Formal 43 Black Polishable,9589,009589-043-BKA,15000,3400,7,105000,23800,1,15000,3400,0,0,0,1,15000,3400,0,0,0,7,105000,23800,0,0,0,7,105000,23800,0,0,0
WH,9342508,Leather Formal 42 Black Polishable,9577,009577-042-BKA,18000,3800,0,0,0,9,162000,34200,2,36000,7600,0,0,0,0,0,0,7,126000,26600,0,0,0,7,126000,26600,0,0,0
